"","Ant4","Ant260","Ant52","Ant540","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant518","Ant0","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant115","Ant117","Ant127","Ant137","Ant139","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant492","Ant501","Ant507","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant98",6,24,1,3,7,5,6,0,26,3,11,1,13,4,17,1,1,39,0,28,16,1,14,5,6,12,11,5,18,11,2,7,0,2,7,15,13,4,0,2,6,1,0,2,1,4,5,4,0,1,5,0,2,0,2,7,13,0,5,2,24,19,27,0,1,0,1,21,4,18,7,11,1,4,18,14,3
"Ant100",3,15,0,0,2,2,0,1,11,1,2,19,1,43,6,1,0,1,0,6,10,0,1,1,1,12,7,19,3,6,1,1,2,0,2,9,10,0,2,0,4,0,0,0,0,6,0,0,0,0,2,0,33,0,3,47,1,2,12,3,0,9,5,0,12,0,0,3,0,29,1,19,0,4,1,15,7
"Ant109",3,11,7,2,7,7,3,0,10,13,8,0,3,0,2,1,2,0,0,3,8,0,22,1,4,0,5,0,4,6,1,3,7,2,0,2,10,0,3,0,7,0,0,7,1,0,0,2,5,2,1,0,0,7,4,0,8,0,0,3,2,2,13,0,2,3,2,3,2,3,5,8,0,2,4,4,3
"Ant115",0,75,1,0,0,3,10,0,26,7,24,1,6,3,9,0,0,53,0,22,13,0,6,2,2,6,3,8,3,4,0,7,15,9,2,0,6,1,0,0,2,0,0,2,1,7,0,0,0,0,0,0,3,1,5,3,18,1,13,7,9,15,98,0,0,0,2,7,0,8,1,22,0,0,25,9,0
"Ant117",12,13,7,12,10,10,8,1,15,6,18,2,0,5,7,1,10,1,1,22,10,1,15,13,13,4,19,0,12,3,10,10,13,10,10,6,0,4,1,2,7,11,3,4,1,1,5,7,5,1,8,1,7,4,9,0,17,0,4,0,3,20,26,0,6,7,9,0,3,0,6,16,1,10,15,19,12
"Ant127",3,0,7,27,6,0,1,0,5,0,3,0,0,0,0,4,23,0,1,0,2,0,1,2,2,0,5,0,5,4,10,2,4,0,0,1,4,0,11,3,7,42,1,4,2,0,6,9,5,4,1,0,0,0,1,0,1,0,0,3,0,0,1,0,12,5,1,3,2,0,3,1,2,58,1,4,1
"Ant137",8,9,15,20,3,6,3,0,1,3,10,0,1,0,4,4,8,2,26,1,2,3,3,3,3,2,6,0,6,6,15,16,0,2,3,0,1,11,0,6,8,18,2,34,5,2,17,4,16,11,51,10,0,27,5,0,5,7,0,7,0,1,1,2,18,9,3,3,7,0,2,6,5,39,3,1,20
"Ant139",1,3,11,5,4,0,3,0,1,1,2,0,1,0,0,5,5,0,3,1,0,21,0,3,6,1,1,0,7,0,0,2,2,0,0,0,2,3,6,0,0,12,3,5,13,2,1,7,8,14,7,4,0,4,1,0,1,0,0,1,0,0,3,6,3,0,3,0,4,2,20,1,14,14,1,1,0
"Ant153",11,1,7,2,4,6,4,0,4,0,9,0,0,0,0,7,4,0,6,0,5,0,8,5,12,0,11,0,4,6,26,9,6,4,7,2,7,7,8,0,0,2,2,5,1,0,7,2,18,3,12,1,0,2,2,0,0,0,0,4,0,8,0,0,10,1,3,6,4,1,6,0,5,15,8,9,4
"Ant156",3,9,20,85,1,1,2,0,2,5,10,0,1,0,3,10,11,0,14,1,4,16,1,2,7,0,5,0,1,1,5,4,1,0,0,0,11,42,18,12,2,0,18,11,2,0,14,8,4,2,6,8,0,7,2,0,4,7,0,1,0,0,2,4,6,4,3,3,12,0,3,0,6,19,4,0,2
