,"colony,date,ant_id,x,y,file_name,ant_type"
369,"N2,8/15/12,119,1238.68182,333.801435,4130,2"
370,"N2,8/15/12,119,1300.69139,338.9689,4067,2"
371,"N2,8/15/12,119,1293.80144,356.19378,4058,2"
372,"N2,8/15/12,133,1274.85407,275.236842,7417,2"
373,"N2,8/15/12,133,1205.95455,316.576555,7358,2"
374,"N2,8/15/12,133,1147.38995,369.973684,7305,2"
375,"N2,8/15/12,133,1157.72488,375.141148,7300,2"
376,"N2,8/15/12,133,1112.94019,399.255981,7281,2"
377,"N2,8/15/12,133,1214.56699,459.543062,7173,2"
378,"N2,8/15/12,133,1290.35646,500.882775,7079,2"
379,"N2,8/15/12,133,1211.12201,550.834928,7028,2"
380,"N2,8/15/12,133,1226.6244,559.447368,6995,2"
381,"N2,8/15/12,133,1174.94976,688.633971,6807,2"
382,"N2,8/15/12,133,1230.06938,550.834928,6630,2"
383,"N2,8/15/12,133,1204.23206,543.944976,6356,2"
384,"N2,8/15/12,133,1187.00718,471.600478,6322,2"
385,"N2,8/15/12,133,1321.36124,402.700957,6235,2"
386,"N2,8/15/12,133,1302.41388,340.691388,6194,2"
387,"N2,8/15/12,133,1319.63876,340.691388,6183,2"
388,"N4,8/13/12,1,1336.45745,390.5,1308,1"
389,"N4,8/13/12,1,1279.01064,481.138298,1292,1"
390,"N4,8/13/12,1,1268.79787,520.712766,1284,1"
391,"N4,8/13/12,1,1248.37234,533.478723,1276,1"
392,"N4,8/13/12,1,1276.45745,538.585106,1272,1"
393,"N4,8/13/12,1,1291.7766,661.138298,1249,1"
394,"N4,8/13/12,1,1243.26596,753.053191,1225,1"
395,"N4,8/13/12,2,1346.67021,722.414894,2168,1"
396,"N4,8/13/12,2,1303.26596,724.968085,2154,1"
397,"N4,8/13/12,2,1299.43617,753.053191,2144,1"
398,"N4,8/13/12,2,1303.26596,783.691489,2131,1"
399,"N4,8/13/12,3,1346.67021,722.414894,3157,1"
400,"N4,8/13/12,3,1342.84043,713.478723,3156,1"
401,"N4,8/13/12,3,1321.1383,732.62766,3150,1"
402,"N4,8/13/12,3,1321.1383,739.010638,3144,1"
403,"N4,8/13/12,3,1296.88298,755.606383,3135,1"
404,"N4,8/13/12,3,1289.2234,773.478723,3127,1"
405,"N4,8/13/12,4,1345.39362,643.265957,4572,1"
406,"N4,8/13/12,4,1350.5,641.989362,4561,1"
407,"N4,8/13/12,4,1327.52128,639.43617,4558,1"
408,"N4,8/13/12,4,1317.30851,661.138298,4551,1"
409,"N4,8/13/12,4,1327.52128,673.904255,4537,1"
410,"N4,8/13/12,4,1331.35106,698.159574,4526,1"
411,"N4,8/13/12,4,1332.62766,691.776596,4516,1"
412,"N4,8/13/12,4,1307.09575,726.244681,4507,1"
413,"N4,8/13/12,4,1304.54255,733.904255,4493,1"
414,"N4,8/13/12,4,1281.56383,781.138298,4481,1"
415,"N4,8/13/12,5,1335.18085,336.882979,5310,1"
416,"N4,8/13/12,5,1323.69149,315.180851,5307,1"
417,"N4,8/13/12,5,1261.1383,386.670213,5294,1"
418,"N4,8/13/12,5,1203.69149,407.095745,5285,1"
419,"N4,8/13/12,5,1178.15957,424.968085,5279,1"
420,"N4,8/13/12,5,1125.81915,439.010638,5260,1"
421,"N4,8/13/12,5,1130.92553,509.223404,5241,1"
422,"N4,8/13/12,5,1226.67021,530.925532,5219,1"
423,"N4,8/13/12,5,1267.52128,556.457447,5212,1"
424,"N4,8/13/12,5,1263.69149,592.202128,5207,1"
425,"N4,8/13/12,5,1331.35106,574.329787,5197,1"
426,"N4,8/13/12,5,1342.84043,589.648936,5190,1"
427,"N4,8/13/12,5,1323.69149,599.861702,5187,1"
428,"N4,8/13/12,5,1323.69149,627.946809,5184,1"
429,"N4,8/13/12,5,1322.41489,625.393617,5177,1"
430,"N4,8/13/12,5,1324.96809,654.755319,5170,1"
431,"N4,8/13/12,5,1308.37234,666.244681,5157,1"
432,"N4,8/13/12,5,1319.8617,676.457447,5153,1"
433,"N4,8/13/12,5,1296.88298,685.393617,5141,1"
434,"N4,8/13/12,5,1316.03192,680.287234,5130,1"
435,"N4,8/13/12,5,1312.20213,723.691489,5105,1"
436,"N4,8/13/12,5,1291.7766,776.031915,5078,1"
